Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Record of Agarest War Zero,PS3,,Strategy,Ghostlight,0.09,0.0,0.03,0.01,0.12,50.0,8.0,6.7,37.0,Compile Heart,T
Rocksmith,PC,,Misc,,0.06,0.04,0.0,0.01,0.12,78.0,5.0,8.1,57.0,Ubisoft,T
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,,Strategy,,0.0,0.0,0.12,0.0,0.12,,,,,,
Saru! Get You! Million Monkeys,PS2,,Platform,,0.0,0.0,0.12,0.0,0.12,,,,,,
Street Hoops,GC,,Sports,,0.09,0.02,0.0,0.0,0.12,56.0,9.0,7.3,7.0,Black Ops Entertainment,T
WRC: FIA World Rally Championship,X360,,Racing,Black Bean Games,0.0,0.1,0.0,0.02,0.12,66.0,24.0,6,4.0,Milestone S.r.l,E10+
Godzilla: Destroy All Monsters Melee,XB,,Fighting,,0.09,0.03,0.0,0.0,0.12,71.0,20.0,6.8,8.0,"Pipeworks Software, Inc.",T
The Daring Game for Girls,DS,,Adventure,,0.11,0.0,0.0,0.01,0.12,,,tbd,,WXP,E
Power Gig: Rise of the SixString,X360,2010.0,Misc,,0.11,0.0,0.0,0.01,0.12,36.0,20.0,2.1,17.0,Seven45 Studios,T
Major League Baseball 2K6,PSP,,Sports,,0.11,0.0,0.0,0.01,0.12,69.0,5.0,tbd,,Visual Concepts,E
Persona 5,PS3,2016.0,Role-Playing,,0.0,0.0,0.11,0.0,0.11,,,,,Atlus,
Star Trek: Conquest,PS2,,Strategy,Bethesda Softworks,0.06,0.04,0.0,0.01,0.11,54.0,15.0,9.1,10.0,4J Studios,E
Mystery P.I. - Portrait of a Thief,DS,2008.0,Adventure,,0.1,0.0,0.0,0.01,0.11,,,tbd,,PopCap,E
AKB48+Me,3DS,2012.0,Action,,0.0,0.0,0.11,0.0,0.11,,,,,,
GiFTPiA,GC,,Role-Playing,,0.0,0.0,0.11,0.0,0.11,,,,,,
Happy Feet Two,PS3,,Action,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.11,,,,,,
Saigo no Yakusoku no Monogatari,PSP,2011.0,Role-Playing,,0.0,0.0,0.11,0.0,0.11,,,,,,
Disney Channel Collection Vol. 1,GBA,2004.0,Misc,,0.08,0.03,0.0,0.0,0.11,,,,,,
Yoostar2,PS3,2011.0,Misc,,0.04,0.04,0.0,0.02,0.1,54.0,15.0,tbd,,Blitz Games Studios,T
Disney's Chicken Little: Ace In Action,Wii,,Shooter,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.1,72.0,8.0,tbd,,Avalanche Software,E10+
Atsumare! Power Pro Kun no DS Koushien,DS,,Sports,,0.0,0.0,0.1,0.0,0.1,,,,,,
Baten Kaitos Origins,GC,2006.0,Role-Playing,,0.06,0.02,0.02,0.0,0.1,75.0,21.0,8.9,23.0,"Monolith Soft, Namco Bandai Games",T
My Healthy Cooking Coach,DS,,Simulation,,0.09,0.0,0.0,0.01,0.1,,,tbd,,Ubisoft,E
Happy Feet Two,DS,,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1,,,tbd,,WayForward,E
Luminous Arc 2 (JP sales),DS,,Role-Playing,,0.0,0.0,0.1,0.0,0.1,,,,,,
Happy Feet Two,X360,,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1,,,,,,
Egg Monster Hero,DS,,Role-Playing,Square Enix,0.0,0.0,0.09,0.0,0.09,,,,,Neverland,E
The Daring Game for Girls,Wii,,Adventure,,0.09,0.0,0.0,0.01,0.09,,,tbd,,WXP,E
Demon Chaos,PS2,,Action,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09,,,,,,
Samurai Shodown Anthology,PSP,,Fighting,Ignition Entertainment,0.08,0.0,0.0,0.01,0.09,,,tbd,,SNK Playmore,T
Action Man-Operation Extreme,PS,,Action,,0.05,0.03,0.0,0.01,0.09,,,,,,
Super Puzzle Fighter II,GBA,,Puzzle,Capcom,0.06,0.02,0.0,0.0,0.09,83.0,22.0,9.5,4.0,Atomic Planet Entertainment,E
Charm Girls Club: My Fashion Show,DS,,Simulation,,0.08,0.0,0.0,0.01,0.08,,,tbd,,Electronic Arts,E
Thomas & Friends: Hero of the Rails,DS,2010.0,Misc,,0.0,0.07,0.0,0.01,0.08,,,,,,
The Golf Club,PS4,2014.0,Sports,,0.05,0.02,0.0,0.01,0.08,66.0,11.0,6.3,67.0,HB Studios Multimedia,E
Face Racers: Photo Finish,3DS,,Racing,Majesco Entertainment,0.08,0.0,0.0,0.01,0.08,,,tbd,,Renegade Kid,E
Martian Panic,Wii,2010.0,Adventure,,0.08,0.0,0.0,0.0,0.08,,,tbd,,N-Fusion Interactive Entertainment Corp.,T
Zero: Tsukihami no Kamen,Wii,,Action,Nintendo,0.0,0.0,0.08,0.0,0.08,,,,,Grasshopper Manufacture,
The Hidden,3DS,,Adventure,,0.08,0.0,0.0,0.01,0.08,,,4.2,5.0,1st Playable Productions,E10+
Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.06,0.02,0.0,0.0,0.08,,,,,,
Get Fit with Mel B,X360,,Sports,Black Bean Games,0.0,0.06,0.0,0.01,0.08,57.0,7.0,,,Lightning Fish Games,E
Rock Revolution,Wii,,Misc,,0.07,0.0,0.0,0.01,0.08,46.0,4.0,tbd,,"Zoe Mode, HB Studios Multimedia",T
Happy Feet Two,Wii,,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,0.01,0.08,,,,,,
Mega Man Battle Network: Operation Shooting Star,DS,,Role-Playing,Capcom,0.0,0.0,0.07,0.0,0.07,,,,,,
Smashing Drive,GC,,Racing,,0.06,0.01,0.0,0.0,0.07,47.0,18.0,5.2,6.0,Point of View,T
Port Royale 3,PS3,,Simulation,Kalypso Media,0.06,0.0,0.0,0.01,0.07,,,8.9,9.0,Kalypso,T
Dream Trigger 3D,3DS,,Shooter,D3Publisher,0.04,0.02,0.0,0.01,0.07,54.0,24.0,6.3,29.0,"Art Co., Ltd.",E
Dead Island: Riptide,PC,,Action,Deep Silver,0.0,0.07,0.0,0.01,0.07,61.0,35.0,6,441.0,Techland,M
Yoostar on MTV,X360,,Misc,,0.07,0.0,0.0,0.01,0.07,49.0,4.0,tbd,,Yoostar Entertainment Group,T
Tornado,DS,,Action,Ignition Entertainment,0.07,0.0,0.0,0.0,0.07,44.0,26.0,tbd,,Skonec,E
McFarlane's Evil Prophecy,PS2,,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,34.0,28.0,3.2,5.0,Konami,M
Drake of the 99 Dragons,XB,,Shooter,,0.05,0.01,0.0,0.0,0.07,22.0,16.0,1.8,37.0,Idol FX,T
Fairy Tail: Zelef Kakusei,PSP,2012.0,Action,,0.0,0.0,0.07,0.0,0.07,,,,,,
Alpha and Omega,DS,2010.0,Action,,0.06,0.0,0.0,0.0,0.07,,,tbd,,Storm City Games,E
Build-A-Bear Workshop: Friendship Valley,Wii,,Misc,,0.06,0.0,0.0,0.0,0.07,,,tbd,,Neko Entertainment,E
Rayman Arena,XB,,Racing,,0.05,0.01,0.0,0.0,0.07,50.0,7.0,tbd,,Ubisoft,E
Port Royale 3,X360,,Simulation,Kalypso Media,0.06,0.0,0.0,0.01,0.07,56.0,11.0,4.5,6.0,Kalypso,T
National Geographic Challenge!,X360,,Misc,,0.06,0.0,0.0,0.0,0.07,,,,,,
Alex Rider: Stormbreaker,DS,,Action,THQ,0.06,0.0,0.0,0.0,0.07,48.0,11.0,6.1,10.0,Altron,T
Kururin Paradise,GBA,2002.0,Puzzle,,0.0,0.0,0.06,0.0,0.06,,,,,,
Speed,Wii,2010.0,Racing,,0.04,0.02,0.0,0.01,0.06,,,tbd,,Zoo Games,E
Chou Soujuu Mecha MG,DS,,Simulation,,0.0,0.0,0.06,0.0,0.06,,,,,,
Prinny: Can I Really Be The Hero? (US sales),PSP,,Action,,0.06,0.0,0.0,0.0,0.06,,,,,,
Combat Elite: WWII Paratroopers,PS2,,Shooter,,0.03,0.02,0.0,0.01,0.06,54.0,12.0,tbd,,BattleBorne,T
Flip's Twisted World,Wii,,Platform,,0.05,0.0,0.0,0.0,0.06,47.0,7.0,tbd,,"Majesco Games, Majesco",E
Mobile Ops: The One Year War,X360,,Simulation,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,,,,"Dimps Corporation, Dream Execution",
Pheasants Forever Wingshooter,Wii,2010.0,Shooter,,0.03,0.02,0.0,0.0,0.06,,,tbd,,High Voltage Software,T
Tom Clancy's Rainbow Six: Critical Hour,XB,,Shooter,,0.04,0.01,0.0,0.0,0.06,54.0,10.0,3.6,14.0,Ubisoft Quebec,M
Jewel Link Chronicles: Mountains of Madness,DS,,Puzzle,Avanquest,0.0,0.05,0.0,0.01,0.05,,,tbd,,Avanquest Software,E10+
Captain America: Super Soldier,Wii,,Action,Sega,0.05,0.0,0.0,0.0,0.05,57.0,16.0,6,6.0,High Voltage Software,T
Mountain Bike Adrenaline,PS2,,Sports,,0.03,0.02,0.0,0.01,0.05,,,tbd,,Fresh 3D,E
Drill Dozer,GBA,,Platform,,0.04,0.01,0.0,0.0,0.05,81.0,34.0,8.3,10.0,Game Freak,E
Samantha Swift and the Hidden Roses of Athena,DS,2010.0,Adventure,,0.04,0.01,0.0,0.0,0.05,,,tbd,,Navarre Corp,E
Captain America: Super Soldier,DS,,Action,Sega,0.05,0.0,0.0,0.0,0.05,,,,,,
GRID,DS,,Racing,Codemasters,0.04,0.0,0.0,0.0,0.05,79.0,19.0,8.1,15.0,Firebrand Games,E
Metal Max 2 Reloaded,DS,2011.0,Role-Playing,,0.0,0.0,0.05,0.0,0.05,,,,,,
Tour de France 2011,X360,,Racing,Focus Home Interactive,0.0,0.04,0.0,0.01,0.05,46.0,7.0,7.6,5.0,Cyanide,
Reader Rabbit 2nd Grade,Wii,,Misc,,0.04,0.0,0.0,0.0,0.05,,,tbd,,Graffiti Entertainment,E
Monster Hunter Frontier Online,PS3,,Role-Playing,,0.0,0.0,0.05,0.0,0.05,,,,,,
The Lost Treasures of Alexandria,DS,2011.0,Puzzle,,0.0,0.04,0.0,0.01,0.05,,,,,,
Max & the Magic Marker,DS,2011.0,Platform,,0.0,0.04,0.0,0.0,0.05,,,,,,
Guilty Gear XX Accent Core,PS2,2007.0,Fighting,,0.0,0.0,0.04,0.0,0.04,77.0,9.0,8.3,16.0,Arc System Works,T
RollerCoaster Tycoon,PC,,Strategy,Microprose,0.02,0.02,0.0,0.01,0.04,,,,,Chris Sawyer,E
Battle vs. Chess,PS3,,Misc,TopWare Interactive,0.0,0.03,0.0,0.01,0.04,,,,,"Targem Games, TopWare Interactive",T
Kids Learn Music A+ Edition,DS,2011.0,Misc,,0.04,0.0,0.0,0.0,0.04,,,,,,
The History Channel: Great Battles - Medieval,PS3,,Strategy,Slitherine Software,0.0,0.03,0.0,0.01,0.04,,,,,,
Clockwork Empires,PC,,Strategy,,0.0,0.04,0.0,0.0,0.04,58.0,7.0,3.8,5.0,Gaslamp Games,RP
B.L.U.E.: Legend of Water,PS,,Adventure,,0.0,0.0,0.04,0.0,0.04,,,,,,
Test Drive: Ferrari Legends,PS3,2012.0,Racing,,0.04,0.0,0.0,0.01,0.04,62.0,19.0,4.9,22.0,"Atari, Slightly Mad Studios, Atari SA",E
GRID,PC,,Racing,Codemasters,0.0,0.03,0.0,0.01,0.04,87.0,25.0,7.9,463.0,Codemasters,E
NHL Hitz Pro,GC,,Sports,,0.03,0.01,0.0,0.0,0.04,81.0,15.0,7.8,5.0,Next Level Games,E
North American Hunting Extravaganza 2,Wii,2010.0,Sports,,0.03,0.0,0.0,0.0,0.04,,,,,,
Men of War: Vietnam,PC,2011.0,Strategy,,0.0,0.03,0.0,0.01,0.04,68.0,19.0,4.9,35.0,Best Way,T
Gummy Bears Mini Golf,Wii,2010.0,Sports,,0.04,0.0,0.0,0.0,0.04,,,,,,
Time Travelers,3DS,2012.0,Adventure,,0.0,0.0,0.04,0.0,0.04,,,,,,
Luxor: Pharaoh's Challenge,Wii,,Puzzle,Funsta,0.01,0.02,0.0,0.0,0.04,,,tbd,,MumboJumbo,E
Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,2011.0,Puzzle,,0.0,0.03,0.0,0.0,0.04,,,,,,
Sega Rally 2006,PS2,,Racing,,0.0,0.0,0.04,0.0,0.04,,,,,,
Train Simulator 2016,PC,2015.0,Simulation,,0.0,0.04,0.0,0.0,0.04,,,4,8.0,Dovetail Games,E
Worms: Ultimate Mayhem,PC,2011.0,Strategy,,0.0,0.03,0.0,0.0,0.04,66.0,4.0,7.8,48.0,Team 17,E10+
Jane's Hotel,DS,2010.0,Simulation,,0.03,0.0,0.0,0.0,0.04,,,tbd,,Zoo Games,E
Half-Minute Hero 2,PSP,,Role-Playing,Rising Star Games,0.0,0.0,0.04,0.0,0.04,,,,,,
Housekeeping,DS,,Action,,0.0,0.0,0.04,0.0,0.04,,,,,,
Major League Baseball 2K8,PSP,,Sports,,0.03,0.0,0.0,0.0,0.03,63.0,5.0,tbd,,Kush Games,E
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,2010.0,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
Sabre Wulf,GBA,,Platform,THQ,0.02,0.01,0.0,0.0,0.03,75.0,27.0,8,4.0,Rare Ltd.,E
Swords,Wii,,Fighting,,0.03,0.0,0.0,0.0,0.03,,,tbd,,Panic Button,T
Junior Island Adventure,DS,2011.0,Puzzle,,0.03,0.0,0.0,0.0,0.03,,,tbd,,"CyberPlanet Interactive Public Co., Ltd., Maximum Family Games",E
Beyond the Labyrinth,3DS,,Role-Playing,,0.0,0.0,0.03,0.0,0.03,,,,,,
Clash of Elementalists,3DS,2013.0,Action,,0.0,0.03,0.0,0.0,0.03,,,,,,
Bikkuriman Daijiten,DS,,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
Majesty 2: The Fantasy Kingdom Sim,X360,,Simulation,,0.03,0.0,0.0,0.0,0.03,,,,,"1C, Ino-Co, 1C Company",
The Binding of Isaac,PC,2012.0,Action,,0.0,0.03,0.0,0.0,0.03,84.0,30.0,8.3,1010.0,"Edmund McMillen, Florian Himsl",
Beastly,Wii,2011.0,Misc,,0.03,0.0,0.0,0.0,0.03,,,tbd,,Visual Impact,E10+
Fullmetal Alchemist: Brotherhood,PSP,,Action,,0.0,0.0,0.03,0.0,0.03,,,,,,
Super Meat Boy: Ultra Edition!,PC,2011.0,Platform,,0.0,0.02,0.0,0.01,0.03,,,,,,
The Golf Club,XOne,2014.0,Sports,,0.03,0.0,0.0,0.0,0.03,64.0,15.0,5.4,59.0,HB Studios Multimedia,E
Max & the Magic Marker,Wii,2011.0,Platform,,0.0,0.03,0.0,0.0,0.03,,,,,,
Ao no Kanata no Four Rhythm,PSV,2016.0,Adventure,,0.0,0.0,0.03,0.0,0.03,,,,,,
Take On Helicopters,PC,2011.0,Simulation,,0.0,0.02,0.0,0.01,0.03,70.0,10.0,6.7,28.0,Bohemia Interactive,T
Combat Elite: WWII Paratroopers,XB,,Shooter,,0.02,0.01,0.0,0.0,0.03,56.0,11.0,tbd,,BattleBorne,T
Samurai Spirits: Tenkaichi Kenkakuden,PS2,,Fighting,,0.0,0.0,0.03,0.0,0.03,,,,,,
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011.0,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
World of Tanks,X360,,Shooter,,0.0,0.03,0.0,0.0,0.03,,,5.2,9.0,Microsoft Game Studios,
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011.0,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
LEGO Legends of Chima: Laval's Journey,DS,2013.0,Adventure,,0.0,0.03,0.0,0.0,0.03,,,tbd,,TT Games,E10+
Battle vs. Chess,PC,,Misc,TopWare Interactive,0.0,0.02,0.0,0.0,0.03,69.0,5.0,5.9,12.0,Targem Games,T
Tom and Jerry in War of the Whiskers,XB,,Fighting,,0.02,0.01,0.0,0.0,0.03,,,,,,
Super Duper Sumos,GBA,,Action,,0.02,0.01,0.0,0.0,0.03,57.0,5.0,tbd,,Handheld Games,E
UK Truck Simulator,PC,2010.0,Simulation,,0.0,0.03,0.0,0.0,0.03,,,,,,
Sengoku Otome: Legend Battle,PSV,2016.0,Action,,0.0,0.0,0.03,0.0,0.03,,,,,,
Bookworm,GBA,2004.0,Puzzle,,0.02,0.01,0.0,0.0,0.03,62.0,5.0,,,PopCap,E
The King of Fighters: Maximum Impact - Maniax,XB,,Fighting,,0.02,0.01,0.0,0.0,0.03,,,,,,
Combat Wings: The Great Battles of WWII,Wii,,Simulation,City Interactive,0.02,0.0,0.0,0.0,0.03,,,,,City Interactive,
Heroes of Hellas 2: Olympia,DS,2012.0,Puzzle,,0.0,0.02,0.0,0.0,0.03,,,,,,
Magicka Collection,PC,2011.0,Adventure,,0.0,0.02,0.0,0.0,0.03,,,7.5,6.0,Paradox Interactive,T
Tube Slider,GC,,Racing,,0.02,0.0,0.0,0.0,0.02,62.0,21.0,tbd,,Nd Cube,E
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,,Adventure,,0.0,0.0,0.02,0.0,0.02,,,,,,
Foto Showdown,DS,2010.0,Role-Playing,,0.02,0.0,0.0,0.0,0.02,,,tbd,,Alpha Unit,E
Payout Poker & Casino,PSP,,Misc,,0.02,0.0,0.0,0.0,0.02,,,,,,
Wii de Asobu: Metroid Prime,Wii,,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02,,,,,,
Legacy of Ys: Books I & II,DS,,Role-Playing,,0.02,0.0,0.0,0.0,0.02,,,,,,
Blender Bros.,GBA,2002.0,Platform,,0.02,0.01,0.0,0.0,0.02,73.0,10.0,tbd,,AI,E
Farm Frenzy 3,DS,2011.0,Strategy,,0.0,0.02,0.0,0.0,0.02,,,,,,
Ukiyo no Roushi,PSV,2015.0,Action,,0.0,0.0,0.02,0.0,0.02,,,,,,
Love Once: Mermaid's Tears,PS3,2011.0,Adventure,,0.0,0.0,0.02,0.0,0.02,,,,,,
Saint,Wii,,Shooter,,0.02,0.0,0.0,0.0,0.02,,,tbd,,Opera House,E10+
Steal Princess,DS,,Platform,,0.02,0.0,0.0,0.0,0.02,60.0,14.0,tbd,,Climax Entertainment,E10+
Dungeon Defenders,PC,2011.0,Role-Playing,,0.02,0.0,0.0,0.0,0.02,81.0,26.0,7.3,399.0,Trendy Entertainment,E10+
Cities in Motion Collection,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02,,,tbd,,Paradox Interactive,E
Mario Tennis,3DS,,Sports,,0.0,0.0,0.02,0.0,0.02,,,,,,
Vampire Mansion: Linda Hyde,DS,2011.0,Adventure,,0.0,0.02,0.0,0.0,0.02,,,,,Easy Interactive,E10+
Meikyuu Cross Blood: Reloaded,X360,2011.0,Action,,0.0,0.0,0.02,0.0,0.02,,,,,,
Nicktoons Collection: Game Boy Advance Video Volume 3,GBA,2005.0,Misc,,0.01,0.01,0.0,0.0,0.02,,,,,,
Disney Sports Football,GBA,2002.0,Sports,,0.01,0.01,0.0,0.0,0.02,62.0,4.0,tbd,,Konami,E
Demolition Company: Gold Edition,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02,,,tbd,,Giants Software,
Airport Simulator,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02,,,,,,
Runaway: A Twist of Fate,DS,,Adventure,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,66.0,5.0,,,Pendulo Studios,T
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,,Racing,,0.0,0.0,0.02,0.0,0.02,,,,,,
UFO: Trilogy,PC,2007.0,Strategy,,0.0,0.02,0.0,0.0,0.02,,,,,,
Tantei Opera: Milky Holmes,PSP,2010.0,Adventure,,0.0,0.0,0.02,0.0,0.02,,,,,,
Cabela's Alaskan Adventure,PS2,,Sports,,0.01,0.01,0.0,0.0,0.02,,,,,,
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,2016.0,Adventure,,0.0,0.0,0.02,0.0,0.02,,,,,,
Thomas & Friends: Hero of the Rails,Wii,2010.0,Misc,,0.0,0.01,0.0,0.0,0.02,,,,,,
Writing and Speaking Beautiful Japanese DS,DS,,Misc,,0.0,0.0,0.02,0.0,0.02,,,,,,
Virtua Quest,PS2,,Role-Playing,,0.01,0.01,0.0,0.0,0.02,53.0,17.0,7.6,5.0,Artificial Mind and Movement,T
Mystery Tales 2: The Spirit Mask,DS,2011.0,Puzzle,,0.0,0.02,0.0,0.0,0.02,,,,,Easy Interactive,E10+
Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,,Misc,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,,,,,,
Without Warning,XB,,Shooter,Capcom,0.01,0.0,0.0,0.0,0.02,45.0,25.0,2,5.0,CiRCLE,M
Wild West Shootout,Wii,2010.0,Shooter,,0.01,0.01,0.0,0.0,0.02,,,tbd,,Funbox Media,T
The Dark Hills of Cherai,PC,2009.0,Puzzle,,0.0,0.01,0.0,0.0,0.02,,,tbd,,ChaYoWo Games,
PDC World Championship Darts 2008,DS,,Sports,,0.01,0.0,0.0,0.0,0.02,,,,,,
Dinotopia: The Sunstone Odyssey,GC,,Action,,0.01,0.0,0.0,0.0,0.02,50.0,4.0,tbd,,Vicious Cycle,T
Jet Impulse,DS,,Simulation,Nintendo,0.0,0.0,0.02,0.0,0.02,,,,,,
Dream Dancer,DS,,Misc,,0.01,0.0,0.0,0.0,0.02,,,tbd,,"CyberPlanet Interactive Public Co., Ltd.",E
Dance! It's Your Stage,Wii,,Misc,DTP Entertainment,0.0,0.01,0.0,0.0,0.02,,,,,,
Football Manager 2007,X360,,Sports,Sega,0.0,0.01,0.0,0.0,0.01,,,,,,
Ferrari: The Race Experience,Wii,,Racing,System 3 Arcade Software,0.0,0.01,0.0,0.0,0.01,54.0,4.0,,,System 3,E
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,DS,2011.0,Role-Playing,,0.0,0.0,0.01,0.0,0.01,,,,,,
Aquaman: Battle for Atlantis,XB,,Action,,0.01,0.0,0.0,0.0,0.01,26.0,13.0,2.7,15.0,Lucky Chicken,T
Shitsuji ga Aruji o Erabu Toki,PSV,2016.0,Adventure,,0.0,0.0,0.01,0.0,0.01,,,,,,
War for the Overworld,PC,2015.0,Strategy,,0.0,0.01,0.0,0.0,0.01,65.0,14.0,7.7,90.0,Subterranean Games,
WRC: FIA World Rally Championship,PC,,Racing,Black Bean Games,0.0,0.01,0.0,0.0,0.01,65.0,7.0,,,Black Bean Games,RP
Fuuraiki 3,PSV,2015.0,Action,,0.0,0.0,0.01,0.0,0.01,,,,,,
Dark Parables: The Exiled Prince,PC,2011.0,Puzzle,,0.0,0.01,0.0,0.0,0.01,,,tbd,,Blue Tea Games,E10+
Hyakka Yakou,PSV,2015.0,Action,,0.0,0.0,0.01,0.0,0.01,,,,,,
Homeworld Remastered Collection,PC,,Strategy,,0.0,0.01,0.0,0.0,0.01,86.0,49.0,8.2,324.0,Gearbox Software,E10+
Shorts,DS,,Platform,,0.01,0.0,0.0,0.0,0.01,,,tbd,,Artificial Mind and Movement,E10+
AKB1/48: Idol to Guam de Koishitara...,X360,,Misc,,0.0,0.0,0.01,0.0,0.01,,,,,,
Super Robot Monkey Team: Game Boy Advance Video Volume 1,GBA,2005.0,Misc,,0.01,0.0,0.0,0.0,0.01,,,,,,
Brothers in Arms: Furious 4,X360,,Shooter,,0.01,0.0,0.0,0.0,0.01,,,,,Gearbox Software,M
Dance with Devils,PSV,2016.0,Action,,0.0,0.0,0.01,0.0,0.01,,,,,,
Agarest Senki: Re-appearance,PS3,,Role-Playing,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
PDC World Championship Darts 2008,PSP,,Sports,Oxygen Interactive,0.01,0.0,0.0,0.0,0.01,43.0,7.0,tbd,,Oxygen Interactive,E10+
Freaky Flyers,GC,,Racing,,0.01,0.0,0.0,0.0,0.01,69.0,14.0,6.5,6.0,Midway,T
Inversion,PC,,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01,59.0,6.0,6.7,107.0,Saber Interactive,M
Hakuouki: Shinsengumi Kitan,PS3,,Adventure,,0.01,0.0,0.0,0.0,0.01,,,,,,
Virtua Quest,GC,,Role-Playing,,0.01,0.0,0.0,0.0,0.01,55.0,19.0,5.5,12.0,Artificial Mind and Movement,T
"Horse Life 4: My Horse, My Friend, My Champion",3DS,2015.0,Action,,0.0,0.01,0.0,0.0,0.01,,,,,,
The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,2011.0,Puzzle,,0.01,0.0,0.0,0.0,0.01,,,,,,
Real Crimes: The Unicorn Killer,DS,2011.0,Puzzle,,0.0,0.01,0.0,0.0,0.01,,,,,,
Driving Simulator 2011,PC,2011.0,Racing,,0.0,0.01,0.0,0.0,0.01,,,,,,
STORM: Frontline Nation,PC,2011.0,Strategy,,0.0,0.01,0.0,0.0,0.01,60.0,12.0,7.2,13.0,SimBin,E10+
Strawberry Nauts,PSV,2016.0,Adventure,,0.0,0.0,0.01,0.0,0.01,,,,,,
