Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Rhythm Heaven,Wii,,Misc,,0.11,0.0,0.77,0.01,0.88,,,,,,
The Lord of the Rings: War in the North,X360,,Action,Warner Bros. Interactive Entertainment,0.52,0.24,0.0,0.08,0.84,61.0,48.0,7.4,113.0,Snowblind Studios,M
Madden NFL 07,PSP,,Sports,,0.77,0.03,0.0,0.04,0.83,78.0,18.0,6.6,16.0,EA Tiburon,E
The Game of Life,PS,1998.0,Misc,,0.46,0.31,0.0,0.05,0.83,,,,,,
MLB SlugFest 20-03,PS2,,Sports,,0.41,0.32,0.0,0.11,0.83,77.0,25.0,8.2,6.0,Midway,E
The Lord of the Rings: War in the North,PS3,,Action,Warner Bros. Interactive Entertainment,0.25,0.42,0.01,0.13,0.82,63.0,33.0,7,100.0,Snowblind Studios,M
Shaun White Snowboarding,X360,,Sports,Ubisoft,0.48,0.25,0.0,0.08,0.81,60.0,48.0,7.6,25.0,Ubisoft Montreal,T
Final Fantasy Type-0,PSP,2011.0,Role-Playing,,0.0,0.0,0.81,0.0,0.81,,,,,Square Enix,
PES 2009: Pro Evolution Soccer,PSP,,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8,,,,,,
WarioWare: Twisted!,GBA,,Puzzle,,0.16,0.06,0.5,0.02,0.74,,,,,,
God Eater,PSP,2010.0,Action,,0.0,0.0,0.72,0.0,0.72,,,,,,
Madden NFL 11,Wii,,Sports,,0.68,0.0,0.0,0.04,0.72,75.0,6.0,5.4,7.0,EA Tiburon,E
Test Drive Unlimited 2,X360,,Racing,Atari,0.3,0.31,0.0,0.07,0.68,68.0,61.0,6.4,87.0,Eden,T
RIFT,PC,2011.0,Role-Playing,,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7.0,6.8,5.0,Amaze Entertainment,E
LEGO Harry Potter: Years 5-7,DS,,Action,Warner Bros. Interactive Entertainment,0.34,0.25,0.0,0.07,0.66,69.0,4.0,tbd,,Traveller's Tales,E10+
Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.46,0.17,0.0,0.01,0.64,,,,,,
SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.46,0.17,0.0,0.01,0.64,,,,,,
Monster Hunter 2,PS2,,Role-Playing,Capcom,0.0,0.0,0.63,0.0,0.63,,,,,,
Metal Gear Solid 2: Substance,XB,,Action,Konami Digital Entertainment,0.38,0.22,0.0,0.03,0.62,87.0,28.0,8.5,39.0,KCEJ,M
Test Drive Unlimited 2,PS3,,Racing,Atari,0.16,0.34,0.01,0.12,0.62,70.0,43.0,6.1,44.0,Eden,T
Advance Wars: Days of Ruin,DS,,Strategy,Nintendo,0.43,0.12,0.0,0.05,0.61,86.0,55.0,8.7,96.0,Intelligent Systems,E10+
The Golden Compass,Wii,,Action,Sega,0.26,0.28,0.0,0.07,0.6,35.0,12.0,6.8,6.0,Shiny Entertainment,E10+
Madden NFL 06,X360,,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59,74.0,48.0,4.9,44.0,EA Tiburon,E
NASCAR: Dirt to Daytona,PS2,,Racing,,0.28,0.22,0.0,0.07,0.58,84.0,10.0,8.8,19.0,Monster Games Inc.,E
Madden NFL 2002,XB,,Sports,,0.53,0.02,0.0,0.03,0.58,90.0,16.0,8.1,8.0,EA Sports,E
Def Jam: Fight for NY,XB,,Fighting,Electronic Arts,0.43,0.1,0.0,0.02,0.54,84.0,33.0,8.5,13.0,Aki Corp.,M
Two Worlds II,X360,2011.0,Role-Playing,,0.4,0.07,0.03,0.03,0.54,67.0,50.0,6.6,140.0,Reality Pump,M
NBA Street Vol. 2,GC,,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54,88.0,16.0,8.1,7.0,Electronic Arts,E
SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.38,0.14,0.0,0.01,0.53,,,,,,
Fishing Derby,2600,,Sports,Activision,0.48,0.03,0.0,0.01,0.51,,,,,,
Wet,X360,,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5,69.0,79.0,7.3,86.0,Artificial Mind and Movement,M
Sonic the Hedgehog,PS3,,Platform,,0.0,0.48,0.0,0.0,0.48,43.0,17.0,4.1,176.0,Sonic Team,E10+
Karate,2600,,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47,,,,,,
Tiger Woods PGA Tour 07,Wii,,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47,71.0,41.0,6.9,44.0,EA Redwood Shores,E
Two Worlds II,PS3,2011.0,Role-Playing,,0.26,0.1,0.06,0.05,0.46,70.0,28.0,7,65.0,Reality Pump,M
Circus Atari,2600,,Action,Atari,0.43,0.03,0.0,0.0,0.46,,,,,,
